month,category_id,file_id,Inflation and Prices,Economic Growth and Business Activity,Quarterly Economic Performance,Committee Deliberations and Policies*,Credit Markets and Financial Conditions,Economic Forecasts and Projections
2023-03,2023,20230322,-0.017921352,0.018298207471863337,-0.068649328,-0.160852568,-0.097575672,-0.038652942
2023-05,2023,20230503,-0.03823094,0.001558634,-0.07270655,-0.193604324,-0.089589694,-0.068794857
2023-06,2023,20230614,0.033786567,-0.002482353,-0.05162244,-0.048958757,0.045507354,-0.051972693
2023-07,2023,20230726,-0.00751684,0.000907172,-0.031669905,-0.158522006,-0.040729941,-0.049775264
2023-09,2023,20230920,-0.01149121,-0.025636258,-0.070683645,-0.073463567,-6.50E-05,-0.031913316
2023-11,2023,20231101,-0.055416064,-0.029674929,-0.027144589,-0.087488654,-0.027491487,-0.048681501
2023-12,2023,20231213,-0.062617187,-0.006862599,-0.102174085,-0.173304517,-0.094937263,-0.048179149
2024-01,2024,20240131,0.00781129,-0.00219658,-0.081460604,-0.075115854,-0.048020298,-0.03024993
2024-03,2024,20240320,-0.033823684,0.007917254,-0.086288427,-0.069735514,0.037283850386011716,-0.018002071
2024-06,2024,20240612,-0.016701678,0.00688405,-0.064886645,-0.116445048,-0.031096925,-0.025427711
